epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6145,1.36314,14.2635,1.47107,0.55999,0.08125,0.09135,0.07187,0.98146,6.50646,1.21176,0.000271356,0.000271356,0.000271356
2,59.5853,1.03424,3.3295,1.20182,0.09627,0.13846,0.09077,0.06746,1.05834,3.21014,1.22302,0.000543587,0.000543587,0.000543587
3,98.2782,0.998,2.69695,1.17823,0.13014,0.14795,0.08132,0.06116,1.11326,3.92597,1.33973,0.000810321,0.000810321,0.000810321
4,126.951,1.04126,2.44265,1.18208,0.19526,0.21349,0.14903,0.11322,1.03221,2.65308,1.19856,0.00080826,0.00080826,0.00080826
5,155.727,1.03324,2.32556,1.18989,0.21043,0.33502,0.2181,0.16924,0.9548,2.4685,1.19772,0.000800013,0.000800013,0.000800013
6,184.4,0.99606,2.23995,1.16547,0.35303,0.37192,0.2944,0.22252,0.96283,2.2929,1.21053,0.000791767,0.000791767,0.000791767
7,212.904,0.9412,2.05629,1.1288,0.24389,0.29576,0.23558,0.18015,0.88345,2.31584,1.10134,0.00078352,0.00078352,0.00078352
8,241.353,0.89867,1.92638,1.10985,0.22039,0.41065,0.30789,0.24676,0.81673,2.05121,1.05017,0.000775273,0.000775273,0.000775273
9,270.069,0.87287,1.8522,1.09613,0.28936,0.44996,0.34216,0.27172,0.83051,1.86896,1.11566,0.000767026,0.000767026,0.000767026
10,298.679,0.86166,1.71542,1.07943,0.39109,0.33349,0.3849,0.29918,0.80272,1.74364,1.10913,0.00075878,0.00075878,0.00075878
11,327.315,0.84683,1.67241,1.08002,0.29805,0.40887,0.36724,0.28778,0.77219,1.7731,1.02899,0.000750533,0.000750533,0.000750533
12,355.892,0.86197,1.64166,1.09999,0.39338,0.45594,0.41248,0.3318,0.77834,1.7815,1.05036,0.000742286,0.000742286,0.000742286
13,384.455,0.84401,1.59905,1.10196,0.33588,0.48113,0.44474,0.36155,0.74716,1.70866,1.05883,0.00073404,0.00073404,0.00073404
