epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8204,1.35124,6.27643,1.43074,0.15031,0.24627,0.10967,0.06219,1.47068,10.5029,1.66264,0.000651515,0.000651515,0.000651515
2,59.1802,1.31201,2.02136,1.39063,0.12573,0.14179,0.0651,0.03083,1.86306,9.12637,1.84754,0.00130513,0.00130513,0.00130513
3,88.0382,1.36646,1.71732,1.42526,0.03977,0.10448,0.01044,0.00303,2.5911,81.7654,3.47842,0.00194555,0.00194555,0.00194555
4,117.036,1.42592,1.59931,1.45204,0.12705,0.08209,0.05413,0.02994,2.54263,8.34119,2.5734,0.0019406,0.0019406,0.0019406
5,145.951,1.33142,1.52917,1.37522,0.48632,0.29104,0.30573,0.18962,1.49331,5.44534,1.57924,0.0019208,0.0019208,0.0019208
6,174.373,1.30028,1.41336,1.35942,0.61703,0.37274,0.37722,0.22943,1.33145,4.94208,1.49215,0.001901,0.001901,0.001901
7,202.954,1.20964,1.25296,1.30202,0.52823,0.44776,0.48488,0.3461,1.15874,3.50742,1.35962,0.0018812,0.0018812,0.0018812
8,232.02,1.1691,1.23131,1.27246,0.7661,0.56716,0.64792,0.437,1.15266,1.48839,1.34829,0.0018614,0.0018614,0.0018614
9,260.803,1.11125,1.1716,1.24098,0.76834,0.58209,0.69982,0.49716,1.03667,1.44794,1.21799,0.0018416,0.0018416,0.0018416
10,289.55,1.07675,1.09589,1.19703,0.77518,0.6433,0.73096,0.5354,0.98059,1.1985,1.18332,0.0018218,0.0018218,0.0018218
11,318.32,1.05157,1.03214,1.20048,0.83387,0.77612,0.81258,0.58963,0.99593,1.18438,1.19832,0.001802,0.001802,0.001802
12,347.19,1.05712,1.00631,1.21573,0.83295,0.62687,0.75101,0.55196,0.96791,1.25634,1.14882,0.0017822,0.0017822,0.0017822
13,375.96,1.01479,0.97701,1.19445,0.79458,0.78358,0.82156,0.6004,0.9349,0.93918,1.17872,0.0017624,0.0017624,0.0017624
14,404.738,0.96724,0.94862,1.16492,0.86607,0.71642,0.80781,0.62017,0.895,1.00106,1.14056,0.0017426,0.0017426,0.0017426
15,433.388,0.95787,0.90971,1.16831,0.77881,0.73881,0.78772,0.60175,0.88189,1.04327,1.10912,0.0017228,0.0017228,0.0017228
16,462.487,0.94338,0.88904,1.13786,0.75474,0.75785,0.77817,0.58162,0.93814,0.95347,1.16848,0.001703,0.001703,0.001703
17,491.59,0.93216,0.86073,1.12835,0.83837,0.77421,0.80684,0.60898,0.91725,0.92502,1.14125,0.0016832,0.0016832,0.0016832
18,520.152,0.91102,0.84952,1.11867,0.86762,0.78358,0.8537,0.64692,0.8524,0.86236,1.0826,0.0016634,0.0016634,0.0016634
19,548.567,0.87873,0.79376,1.09706,0.84097,0.74983,0.82145,0.63014,0.88458,0.83758,1.11019,0.0016436,0.0016436,0.0016436
20,577.063,0.85326,0.78249,1.07785,0.92567,0.76866,0.8844,0.70466,0.77614,0.7462,1.02977,0.0016238,0.0016238,0.0016238
21,605.641,0.85627,0.7851,1.08532,0.8097,0.80597,0.86384,0.67165,0.81598,0.81142,1.04278,0.001604,0.001604,0.001604
22,634.238,0.85046,0.78317,1.08847,0.76509,0.80209,0.84601,0.65849,0.82407,0.92628,1.07318,0.0015842,0.0015842,0.0015842
23,662.932,0.81257,0.75038,1.06638,0.78847,0.75373,0.82633,0.67383,0.74865,0.82254,1.05215,0.0015644,0.0015644,0.0015644
24,691.399,0.80441,0.74247,1.03985,0.86383,0.80481,0.87346,0.71287,0.72581,0.77058,1.00236,0.0015446,0.0015446,0.0015446
